Amount,Frequency,Location,Device,Time,AccountAge,Fraud
159127,5,International,ATM,Evening,69,0
97814,2,Same City,ATM,Morning,95,0
44120,6,Different City,ATM,Morning,57,0
56369,8,Different City,POS,Afternoon,114,0
105383,4,International,POS,Evening,70,0
55026,9,Different City,POS,Afternoon,26,0
108385,1,Same City,POS,Afternoon,75,0
54168,1,Different City,POS,Morning,57,0
620,8,Different City,POS,Evening,77,0
132493,3,Different City,Web,Morning,111,0
22955,2,International,Web,Night,73,0
87990,5,Same City,POS,Morning,21,0
166211,10,Same City,ATM,Afternoon,9,0
51618,9,Different City,ATM,Night,74,0
160623,6,Same City,POS,Evening,71,0
147676,10,International,Web,Morning,107,1
111635,7,International,Web,Evening,91,1
37485,6,Different City,POS,Afternoon,39,0
154959,2,Different City,POS,Morning,65,0
25476,3,Different City,Mobile,Morning,94,0
8734,8,Same City,ATM,Night,57,0
63580,6,Same City,Mobile,Afternoon,101,0
104803,9,International,ATM,Morning,23,1
199927,2,Same City,Web,Afternoon,93,0
46184,1,International,Mobile,Evening,22,0
163412,3,Same City,Mobile,Night,25,0
46776,3,International,Mobile,Night,25,0
94569,2,Different City,Mobile,Evening,78,0
3824,6,Different City,Mobile,Evening,57,0
196924,5,International,Web,Morning,83,0
8540,8,Same City,Web,Night,15,0
84713,1,International,Web,Morning,74,0
46681,6,Same City,Mobile,Evening,119,0
151331,1,Same City,ATM,Afternoon,39,0
19152,9,Different City,Web,Morning,108,0
149304,9,Different City,ATM,Night,63,0
189331,2,Different City,Mobile,Afternoon,82,0
189702,3,International,POS,Morning,63,0
128595,6,International,POS,Night,87,1
198507,4,International,Mobile,Night,76,0
77540,3,Different City,POS,Evening,6,0
49761,2,Same City,ATM,Morning,9,0
118123,3,Same City,ATM,Night,3,0
100844,2,Same City,Mobile,Morning,21,0
59036,8,Different City,ATM,Morning,52,0
129782,9,Same City,Web,Afternoon,77,0
174389,4,Same City,Mobile,Evening,48,0
80804,6,Same City,ATM,Evening,79,0
31467,2,International,Web,Night,57,0
165519,10,International,Mobile,Morning,5,1
181072,2,International,Web,Night,21,0
113054,3,Different City,ATM,Afternoon,72,0
148790,7,Different City,Mobile,Evening,25,0
139251,8,International,Web,Night,31,1
144489,1,Different City,Mobile,Evening,19,0
163641,6,International,Web,Morning,38,1
121231,8,Different City,Mobile,Evening,87,0
12005,4,International,Web,Afternoon,46,0
129588,10,Different City,ATM,Evening,8,0
108902,8,International,ATM,Night,58,1
73143,1,Different City,Web,Morning,72,0
10215,7,International,Mobile,Afternoon,96,0
26982,4,Different City,Mobile,Night,104,0
83713,10,Different City,POS,Morning,12,0
116107,2,Same City,POS,Morning,34,0
37815,9,International,Web,Evening,40,0
79533,1,Same City,ATM,Afternoon,29,0
59738,2,Different City,POS,Night,47,0
27441,10,Different City,POS,Night,110,0
78383,5,Different City,ATM,Afternoon,103,0
138832,8,Same City,ATM,Morning,110,0
142732,5,Different City,Web,Afternoon,108,0
197378,7,Same City,Mobile,Evening,86,0
138917,8,International,ATM,Evening,45,1
181384,10,Different City,ATM,Morning,27,0
61808,2,Different City,Web,Afternoon,32,0
184799,2,Different City,Mobile,Evening,40,0
104758,6,Same City,Mobile,Afternoon,119,0
181687,2,International,Web,Morning,119,0
177021,4,Same City,POS,Morning,26,0
176421,2,International,ATM,Afternoon,4,0
118659,5,Same City,POS,Evening,74,0
48360,3,Same City,ATM,Evening,75,0
120466,8,International,ATM,Morning,33,1
194404,4,Different City,ATM,Night,83,0
66139,8,International,Mobile,Night,36,0
151241,1,Different City,POS,Evening,33,0
91619,1,Same City,POS,Morning,27,0
109415,9,Different City,ATM,Evening,46,0
88223,4,Different City,Web,Afternoon,33,0
52326,8,Different City,POS,Morning,74,0
123673,9,International,ATM,Night,77,1
4512,9,International,Mobile,Afternoon,22,0
57206,10,Same City,POS,Afternoon,92,0
133473,6,International,Web,Morning,86,1
158668,9,Different City,Mobile,Night,25,0
99251,10,Same City,Mobile,Afternoon,32,0
107874,5,Same City,ATM,Evening,107,0
64843,4,Same City,Mobile,Night,15,0
109404,3,Different City,POS,Night,77,0
180220,9,Different City,Web,Evening,60,0
70114,1,Same City,Mobile,Morning,74,0
183851,3,Same City,POS,Evening,114,0
7442,10,International,Web,Afternoon,82,0
71503,7,Same City,Web,Night,111,0
41694,8,International,ATM,Afternoon,85,0
20792,2,Same City,Web,Evening,29,0
111782,10,Same City,Mobile,Night,71,0
143060,6,Different City,ATM,Morning,55,0
42678,2,Different City,POS,Morning,99,0
101571,4,International,POS,Morning,102,0
50418,9,Same City,Web,Afternoon,88,0
50728,7,International,POS,Morning,12,0
71133,9,International,Mobile,Night,51,0
89988,5,Same City,POS,Afternoon,118,0
191288,1,Different City,Web,Afternoon,50,0
80561,6,International,Web,Afternoon,44,1
199646,9,International,Web,Morning,2,1
8373,10,Different City,POS,Afternoon,95,0
95824,8,Same City,Web,Evening,108,0
98039,7,International,ATM,Night,24,1
105533,10,International,Web,Night,44,1
131803,8,Same City,POS,Night,117,0
11721,4,International,Web,Night,106,0
17160,9,Different City,ATM,Afternoon,54,0
24252,5,Different City,ATM,Morning,1,0
87182,3,International,POS,Afternoon,51,0
120015,2,Same City,POS,Morning,104,0
128120,1,International,POS,Morning,100,0
137939,3,International,Mobile,Morning,26,0
175730,8,International,Mobile,Morning,51,1
14454,2,Same City,POS,Evening,102,0
118775,5,International,POS,Afternoon,22,0
180163,7,International,POS,Morning,67,1
148920,8,Different City,Web,Evening,113,0
9997,9,Different City,ATM,Evening,79,0
6534,10,Different City,POS,Evening,10,0
147318,5,Different City,POS,Night,49,0
127402,1,International,POS,Afternoon,114,0
26637,2,International,ATM,Evening,63,0
75015,3,Same City,POS,Afternoon,91,0
108964,5,International,ATM,Evening,44,0
135103,2,International,POS,Afternoon,70,0
114760,6,Different City,Web,Evening,46,0
28468,10,Same City,Mobile,Night,77,0
194132,4,International,Mobile,Evening,65,0
19029,8,Same City,POS,Morning,3,0
61575,7,Different City,POS,Afternoon,45,0
91163,6,Same City,ATM,Afternoon,45,0
39372,2,Different City,POS,Evening,63,0
175136,5,Same City,ATM,Morning,81,0
146369,6,Different City,Mobile,Night,40,0
77966,1,International,ATM,Afternoon,63,0
85582,1,Different City,POS,Morning,16,0
145217,7,International,Mobile,Night,54,1
77183,9,Same City,Web,Morning,102,0
71221,6,International,POS,Morning,37,0
183221,3,Same City,POS,Afternoon,40,0
13608,2,Different City,ATM,Morning,79,0
164160,8,Same City,Web,Evening,62,0
117640,8,Different City,Mobile,Morning,8,0
115925,3,Same City,POS,Night,49,0
134221,2,Different City,Web,Afternoon,15,0
71260,7,International,Mobile,Morning,110,0
131733,7,Different City,Web,Night,37,0
172475,10,International,Mobile,Evening,43,1
157767,4,International,ATM,Morning,10,0
82034,9,Different City,Web,Evening,94,0
157138,6,International,Web,Morning,79,1
180692,3,Different City,POS,Night,18,0
100742,6,Same City,POS,Evening,95,0
30134,1,Same City,POS,Afternoon,81,0
99302,10,International,Mobile,Afternoon,22,1
79771,1,Different City,ATM,Morning,87,0
81099,9,Same City,Mobile,Evening,6,0
3223,7,International,Web,Morning,56,0
148741,2,Different City,Mobile,Evening,118,0
20161,7,Different City,Mobile,Night,33,0
91799,2,International,Web,Night,81,0
195492,7,Different City,Web,Afternoon,71,0
172351,9,Different City,POS,Evening,84,0
193745,9,Different City,Web,Evening,74,0
19499,5,Same City,Mobile,Afternoon,114,0
123605,4,Different City,Web,Evening,118,0
68852,3,Same City,Web,Morning,41,0
115704,4,International,POS,Night,15,0
135904,5,Different City,POS,Afternoon,3,0
116168,5,Different City,POS,Afternoon,18,0
149929,8,Different City,Web,Night,30,0
71919,10,International,Web,Afternoon,101,0
121237,4,Different City,Web,Morning,92,0
45708,5,International,Mobile,Afternoon,9,0
177566,5,Different City,Mobile,Morning,99,0
198354,2,Same City,Mobile,Night,38,0
46909,8,International,Mobile,Evening,70,0
146869,1,Different City,Mobile,Afternoon,34,0
152347,8,Same City,POS,Night,46,0
69894,2,Different City,Web,Evening,52,0
181689,10,Same City,POS,Night,97,0
147647,1,Same City,Mobile,Night,111,0
132351,9,Different City,ATM,Night,60,0
158451,2,Same City,ATM,Night,27,0
129182,1,International,Web,Morning,63,0
157158,10,International,Web,Afternoon,108,1
100636,6,Same City,Mobile,Evening,53,0
5819,2,International,ATM,Afternoon,108,0
181986,6,Different City,POS,Afternoon,2,0
158160,7,Different City,Web,Night,65,0
186227,8,Same City,Web,Morning,7,0
152265,4,Same City,Mobile,Evening,35,0
143741,9,Same City,ATM,Evening,107,0
24219,9,Different City,ATM,Night,78,0
155720,6,Different City,POS,Afternoon,48,0
729,8,Same City,POS,Night,67,0
122870,8,Different City,POS,Night,75,0
111302,3,Same City,Mobile,Morning,82,0
180539,4,Different City,POS,Afternoon,15,0
44572,4,Same City,Mobile,Evening,58,0
38865,2,International,ATM,Night,84,0
5665,3,Different City,POS,Night,42,0
96427,6,Same City,Web,Morning,59,0
111931,3,International,Web,Night,57,0
187156,4,Same City,ATM,Evening,28,0
71359,2,Different City,ATM,Evening,55,0
91751,8,International,ATM,Afternoon,67,1
81384,3,Same City,Mobile,Evening,95,0
115866,4,Same City,POS,Night,23,0
20851,9,International,Web,Night,62,0
162429,4,Same City,Web,Afternoon,102,0
196532,3,Same City,ATM,Night,28,0
195248,1,International,Web,Morning,104,0
188393,2,International,POS,Morning,51,0
181993,10,International,Mobile,Evening,45,1
184722,10,International,POS,Night,112,1
180926,7,Same City,ATM,Morning,36,0
143385,5,International,Mobile,Morning,101,0
24538,7,Different City,Mobile,Night,23,0
49933,6,Different City,Web,Morning,62,0
83483,1,Same City,POS,Evening,19,0
72251,3,Same City,POS,Night,107,0
118513,10,International,POS,Evening,71,1
117890,7,Different City,Web,Afternoon,77,0
60324,4,Different City,POS,Morning,14,0
3323,2,International,POS,Morning,81,0
130137,3,Same City,ATM,Night,94,0
157335,6,International,ATM,Afternoon,41,1
196498,3,International,POS,Evening,11,0
53613,8,Same City,Web,Afternoon,81,0
93840,5,Same City,Web,Evening,32,0
144397,7,Different City,Web,Morning,39,0
49987,5,International,POS,Morning,53,0
140790,9,International,POS,Evening,69,1
65941,10,Different City,Web,Morning,22,0
150264,9,Different City,Mobile,Night,39,0
175779,9,Different City,POS,Morning,4,0
121244,6,Same City,ATM,Afternoon,73,0
198568,9,International,Mobile,Afternoon,69,1
146241,6,Same City,Web,Morning,23,0
174411,4,Same City,Web,Night,58,0
38263,5,Same City,POS,Afternoon,47,0
106838,1,Different City,Web,Evening,83,0
153030,4,Same City,Web,Night,54,0
35009,6,Different City,POS,Night,14,0
33431,9,Different City,POS,Night,65,0
163760,9,International,ATM,Evening,15,1
141968,6,International,ATM,Morning,29,1
126622,5,International,Web,Evening,101,0
192934,10,Different City,ATM,Afternoon,55,0
141597,3,Different City,POS,Night,89,0
14073,10,Different City,Mobile,Evening,85,0
92773,5,International,Web,Evening,69,0
145838,5,Different City,Web,Afternoon,84,0
102169,2,Same City,Web,Night,108,0
140185,3,International,Web,Afternoon,89,0
36971,3,Different City,ATM,Afternoon,73,0
199055,10,Different City,Mobile,Afternoon,66,0
119227,5,Different City,Web,Night,96,0
148108,2,International,Web,Afternoon,88,0
85228,1,Different City,POS,Evening,65,0
23924,9,Different City,Web,Afternoon,25,0
6865,10,Same City,POS,Night,111,0
86094,10,International,POS,Evening,103,1
75124,4,Different City,Web,Night,59,0
46234,10,Same City,Mobile,Morning,48,0
53901,8,Same City,Web,Morning,117,0
25509,7,Different City,POS,Evening,113,0
150033,5,International,ATM,Afternoon,6,0
18700,4,Different City,Web,Night,91,0
83748,8,Different City,Web,Evening,111,0
119074,7,Different City,POS,Morning,78,0
61057,9,Same City,ATM,Afternoon,117,0
115072,2,Different City,ATM,Night,3,0
120328,1,Different City,POS,Afternoon,10,0
6620,3,Different City,Web,Afternoon,105,0
82127,2,Different City,Mobile,Afternoon,49,0
179127,1,Different City,Web,Morning,31,0
30720,7,Different City,Mobile,Morning,46,0
93086,1,Different City,ATM,Morning,78,0
62348,10,International,Mobile,Morning,44,0
100180,9,International,POS,Evening,35,1
175244,2,Different City,ATM,Evening,48,0
56580,6,Different City,POS,Night,84,0
159736,1,Same City,POS,Morning,47,0
141049,5,Different City,Mobile,Night,5,0
124181,7,Same City,POS,Morning,56,0
154185,4,International,Web,Night,98,0
60725,9,Different City,ATM,Evening,96,0
74014,9,Same City,Web,Morning,17,0
33211,6,International,ATM,Evening,66,0
86541,3,Same City,Mobile,Afternoon,97,0
116929,6,International,Web,Evening,35,1
17336,3,Same City,ATM,Night,4,0
53544,10,Different City,ATM,Afternoon,73,0
87914,8,Different City,Web,Night,12,0
16221,8,Same City,ATM,Evening,72,0
169996,9,International,ATM,Evening,103,1
160116,4,Different City,POS,Morning,82,0
73210,9,International,Web,Evening,104,0
137080,7,Same City,Mobile,Night,40,0
81288,9,International,Web,Afternoon,26,1
16201,10,Same City,Web,Night,7,0
96934,2,Same City,POS,Morning,6,0
93881,6,International,Web,Afternoon,60,1
50652,3,International,ATM,Morning,14,0
194143,2,Different City,ATM,Morning,88,0
104541,3,International,ATM,Morning,89,0
185683,8,Same City,Web,Night,81,0
47310,9,Same City,Mobile,Morning,57,0
179142,7,Same City,Mobile,Evening,89,0
126068,7,Different City,ATM,Night,5,0
89692,2,Same City,Web,Evening,55,0
97524,1,Same City,ATM,Morning,114,0
6860,6,Same City,Web,Evening,83,0
26627,5,Different City,POS,Morning,59,0
184158,5,Different City,ATM,Evening,28,0
146730,2,International,ATM,Night,11,0
186564,5,Different City,POS,Morning,109,0
192147,8,Same City,ATM,Morning,56,0
21547,2,International,POS,Morning,78,0
5459,8,Same City,POS,Afternoon,113,0
134672,8,Different City,Mobile,Morning,11,0
161807,1,Different City,Mobile,Afternoon,45,0
23970,9,Different City,Web,Afternoon,17,0
186436,7,Different City,Web,Evening,61,0
184628,2,Different City,ATM,Evening,114,0
111264,3,Different City,ATM,Morning,92,0
195667,5,International,ATM,Evening,106,0
153211,3,Different City,Mobile,Morning,98,0
111441,5,International,Web,Morning,65,0
125557,1,International,Web,Night,15,0
162377,10,International,Web,Afternoon,39,1
7648,6,Same City,Mobile,Night,23,0
39852,3,Same City,POS,Afternoon,62,0
138495,4,International,ATM,Evening,63,0
130339,6,International,Mobile,Evening,59,1
104049,10,International,Mobile,Evening,77,1
105061,10,Different City,Mobile,Afternoon,33,0
35983,9,International,Web,Night,53,0
87044,4,Different City,Mobile,Night,62,0
131939,10,International,Web,Morning,65,1
51418,8,International,ATM,Night,106,0
15930,7,Same City,Web,Night,57,0
95282,5,Same City,POS,Afternoon,8,0
22962,8,Same City,Web,Night,55,0
126790,1,International,Web,Evening,84,0
121949,1,Different City,Mobile,Night,77,0
12866,6,International,POS,Night,97,0
95065,8,International,Mobile,Night,114,1
153323,10,Different City,Web,Night,91,0
16745,4,Same City,POS,Afternoon,2,0
63330,2,Same City,POS,Morning,112,0
171121,7,Same City,Mobile,Morning,80,0
61444,9,Different City,Web,Evening,84,0
119607,5,Different City,ATM,Afternoon,9,0
92254,4,Same City,Mobile,Evening,4,0
75166,10,Different City,Mobile,Evening,42,0
182648,7,Same City,ATM,Morning,112,0
45785,4,Different City,ATM,Night,20,0
69674,10,Different City,POS,Night,91,0
43519,5,Same City,ATM,Afternoon,42,0
171614,6,Different City,Web,Afternoon,50,0
102369,8,Different City,Web,Night,17,0
5188,8,International,Mobile,Night,53,0
187066,6,Same City,ATM,Morning,47,0
30477,3,Same City,Web,Morning,46,0
34394,5,Same City,POS,Evening,112,0
139404,5,Same City,Web,Night,34,0
180808,8,International,ATM,Evening,77,1
136244,4,Different City,ATM,Night,49,0
101148,3,International,POS,Night,98,0
149457,8,Same City,POS,Morning,65,0
29764,1,International,POS,Afternoon,8,0
93662,3,Same City,Web,Night,110,0
146442,8,Different City,POS,Afternoon,79,0
124238,6,International,ATM,Evening,55,1
86297,1,Same City,POS,Morning,34,0
116879,1,International,ATM,Afternoon,6,0
186284,6,International,Web,Afternoon,60,1
85658,2,International,Mobile,Night,61,0
96920,10,Different City,ATM,Night,91,0
139066,1,Same City,ATM,Night,85,0
78772,7,Same City,ATM,Afternoon,1,0
148043,3,International,Web,Evening,64,0
115921,6,Different City,POS,Night,2,0
115619,5,Same City,Web,Morning,22,0
118317,7,International,ATM,Evening,6,1
69204,8,International,Web,Afternoon,87,0
55881,8,International,ATM,Night,102,0
166164,10,Same City,Web,Evening,58,0
118620,8,Different City,ATM,Evening,67,0
76892,2,Same City,POS,Evening,92,0
114334,7,Different City,Mobile,Afternoon,84,0
84862,2,Different City,Mobile,Evening,99,0
108384,7,International,POS,Afternoon,44,1
7692,2,Same City,POS,Night,24,0
180298,2,Different City,Web,Morning,74,0
86339,4,Same City,POS,Morning,68,0
53367,3,Different City,POS,Afternoon,74,0
111826,9,International,POS,Afternoon,48,1
105566,9,Same City,POS,Morning,104,0
141714,2,Different City,POS,Afternoon,52,0
66412,7,Different City,ATM,Evening,1,0
152750,8,Different City,Web,Morning,99,0
164042,4,Different City,Web,Afternoon,116,0
100008,2,Different City,ATM,Afternoon,91,0
198946,2,Same City,Web,Evening,105,0
144923,10,International,ATM,Night,57,1
11697,3,Same City,ATM,Night,18,0
127926,5,Different City,Web,Evening,33,0
13343,8,Same City,Web,Morning,95,0
7761,10,Different City,Web,Night,114,0
77787,2,Same City,Mobile,Evening,36,0
147801,5,International,ATM,Evening,5,0
189657,5,Same City,Mobile,Night,69,0
83665,2,Same City,Mobile,Evening,15,0
62629,6,Different City,ATM,Night,74,0
88595,1,Different City,Mobile,Afternoon,18,0
117255,9,International,ATM,Night,24,1
51748,9,Same City,POS,Morning,50,0
14462,4,Different City,Mobile,Morning,7,0
173018,6,Same City,POS,Evening,28,0
190956,9,Same City,Web,Morning,55,0
52365,4,Different City,Mobile,Evening,29,0
186194,9,Same City,ATM,Evening,35,0
2620,8,Different City,ATM,Morning,9,0
126500,3,Same City,POS,Morning,21,0
3443,4,Different City,ATM,Morning,15,0
77136,4,International,Mobile,Night,86,0
84972,8,International,ATM,Afternoon,57,1
71226,8,International,POS,Night,108,0
100517,1,Same City,ATM,Evening,107,0
125969,10,International,Web,Afternoon,26,1
132370,4,Same City,ATM,Evening,36,0
34050,10,Different City,Mobile,Afternoon,20,0
95144,6,Same City,Web,Morning,73,0
154963,7,Same City,Mobile,Evening,96,0
63263,4,International,POS,Afternoon,50,0
178189,3,Same City,Web,Evening,35,0
90806,6,Different City,POS,Night,65,0
96321,5,International,ATM,Evening,41,0
160054,2,International,Mobile,Night,57,0
175172,2,International,Web,Night,7,0
45774,2,Same City,POS,Evening,7,0
82060,1,Same City,Web,Evening,13,0
38172,5,International,Web,Night,1,0
185960,10,Same City,Web,Evening,93,0
82655,4,Different City,Mobile,Night,64,0
1473,9,International,POS,Night,116,0
84245,4,International,POS,Afternoon,4,0
183418,8,Different City,Web,Evening,23,0
64031,7,Different City,Mobile,Night,27,0
127075,8,Same City,POS,Evening,54,0
119780,9,Different City,ATM,Afternoon,71,0
131903,5,Same City,Web,Morning,64,0
141342,7,Same City,Web,Morning,71,0
96359,1,Same City,ATM,Evening,90,0
50999,1,Different City,Web,Evening,61,0
142201,3,Same City,ATM,Morning,43,0
72250,4,Different City,ATM,Evening,28,0
196983,5,Different City,Web,Morning,91,0
190124,7,Different City,Mobile,Morning,2,0
123784,7,Different City,POS,Evening,67,0
137697,8,International,ATM,Night,116,1
96939,9,Different City,POS,Morning,57,0
141946,3,Different City,Mobile,Night,78,0
55504,5,Different City,ATM,Morning,52,0
28329,10,Different City,POS,Night,43,0
101608,4,Different City,Web,Evening,51,0
8970,1,International,Mobile,Afternoon,98,0
30171,9,Different City,Web,Afternoon,86,0
46010,4,Different City,ATM,Evening,84,0
192045,3,Same City,Web,Night,104,0
68971,4,Different City,Web,Morning,30,0
191714,9,International,POS,Night,42,1
2575,8,Same City,Mobile,Evening,79,0
63170,7,International,ATM,Morning,1,0
91374,10,International,Web,Evening,120,1
176113,5,Different City,Mobile,Morning,32,0
104226,10,International,ATM,Afternoon,113,1
46989,2,Same City,Web,Night,107,0
117725,8,Same City,Mobile,Night,8,0
63310,10,International,Mobile,Evening,89,0
97842,7,Different City,POS,Afternoon,34,0
